番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
八男？别闹了！,5.4,44333587,1202042,733769,54645,小说改|穿越|奇幻|魔法,1
赤发白雪姬 第一季,9.7,26276591,1369625,1003006,4578,少女|奇幻|架空,0
Fate/stay night 06版,9.5,19893059,5240236,702348,11360,奇幻|战斗|魔法|游戏改,0
噬神者,9.4,33465692,1200781,447725,4442,奇幻|科幻|热血|游戏改,0
灼眼的夏娜,9.4,14744530,1340147,990188,4822,校园|战斗|热血|小说改,0
幻想嘉年华,9.7,22797353,1209640,638873,9222,日常|泡面|奇幻,0
魔法少女小圆 剧场版 [新篇] 叛逆的物语,9.9,2870166,2196829,87114,22859,原创|战斗|奇幻|魔法,1
记录的地平线,9.7,27301733,1784983,508145,8881,奇幻|智斗|架空|穿越,0
索玛丽与森林之神,9.8,16045080,1140018,257859,23076,漫画改|奇幻|治愈|萌系,1
只要贝尔哲布布大小姐喜欢就好,9.6,13378420,1128231,196526,7871,萌系|搞笑|恋爱|奇幻,1
续 夏目友人帐,9.7,19357579,5319609,1054271,5756,奇幻|日常|治愈|催泪,1
朝花夕誓,9.7,10224079,0,184620,33531,奇幻|动画,1
星之梦,9.7,9408573,1140444,260022,5214,催泪|奇幻|治愈,0
百炼霸王与圣约女武神,6.2,33012753,1082938,406730,11193,小说改|奇幻|战斗|架空,0
魔法少女小圆 剧场版 [前篇] 起始的物语,9.8,1349159,2196829,33967,3164,原创|奇幻|战斗|魔法,1
水果篮子 第二季,9.6,8145766,1231376,99726,4825,漫画改|奇幻|校园|恋爱,1
Fate/stay night [Unlimited Blade Works] 特典,9.4,11099585,5240238,122639,3656,奇幻|日常,0
夏目友人帐 叁,9.7,16781465,5319609,848486,5563,奇幻|日常|治愈|催泪,1
夏目友人帐 肆,9.7,16168117,5319609,781173,5147,奇幻|日常|治愈|催泪,1
魔法少女小圆 剧场版 [后篇] 永远的物语,9.8,1093568,2196829,24133,2942,原创|战斗|奇幻|魔法,1
天地创造设计部,9.5,16506411,996493,161229,20786,漫画改|奇幻|搞笑,1
虫师,9.9,7718995,1025213,107682,14475,奇幻|治愈,0
终物语,9.7,16161901,1210339,285782,3997,奇幻|小说改,1
对魔导学园35试验小队,8.6,28912899,955215,585430,2556,校园|奇幻|战斗,0
水果篮子 (2019),9.7,17086462,1231376,263323,9684,漫画改|奇幻|校园|恋爱,1
進擊的巨人 第二季（僅限台灣地區）,9.7,3382468,1304260,70662,5318,奇幻|热血|战斗|漫画改,0
绝园的暴风雨,9.6,12667683,899228,284726,9923,奇幻|推理|战斗|穿越,0
AIR,9.7,5348693,898582,86511,6782,奇幻|日常|治愈|催泪,0
青之驱魔师,8.9,9338893,966539,242837,4174,奇幻|战斗|热血|漫画改,1
空战魔导士候补生的教官,7.1,35212636,876284,536540,2536,奇幻|热血,0
不正经的魔术讲师与禁忌教典,9.2,13130940,870720,112883,7161,战斗|校园|奇幻|架空,1
凉宫春日的忧郁 2009,9.7,8503976,1177794,250607,9272,小说改|奇幻|校园|日常,1
滑头鬼之孙,9.4,10294808,1010679,153055,4725,奇幻|战斗|热血|声控,0
ACCA13区监察课,9.8,11990723,857549,238859,8948,漫画改|奇幻|智斗,0
我，要成为双马尾。,9.2,28320710,840245,1289622,4690,奇幻|搞笑|热血|战斗,0
